id,pais,materia,grado,tema,tema_descripcion,tema_orden,parametro,codigo,nivel,nivel_nombre,porcentaje_nivel,puntaje_promedio,puntaje_significancia,quintil,quintil_puntaje,quintil_significancia,nota_tooltip,nota_grafico
0,ar,Ciencias,6,general_pais,,1,Todos,ARGCiencias6Todos,1,Nivel I,0.40071181,699.1640783,,Quintil_1,665.8400477,,,
0,ar,Ciencias,6,general_pais,,1,Todos,ARGCiencias6Todos,2,Nivel II,0.38844058,699.1640783,,Quintil_1,665.8400477,,,
0,ar,Ciencias,6,general_pais,,1,Todos,ARGCiencias6Todos,3,Nivel III,0.15306127,699.1640783,,Quintil_1,665.8400477,,,
0,ar,Ciencias,6,general_pais,,1,Todos,ARGCiencias6Todos,4,Nivel IV,0.05778634,699.1640783,,Quintil_1,665.8400477,,,
0,ar,Lectura,3,general_pais,,1,Todos,ARGLectura3Todos,1,Nivel I,0.38463263,701.8829929,,Quintil_1,679.0894551,,,
0,ar,Lectura,3,general_pais,,1,Todos,ARGLectura3Todos,2,Nivel II,0.22681956,701.8829929,,Quintil_1,679.0894551,,,
0,ar,Lectura,3,general_pais,,1,Todos,ARGLectura3Todos,3,Nivel III,0.26673862,701.8829929,,Quintil_1,679.0894551,,,
0,ar,Lectura,3,general_pais,,1,Todos,ARGLectura3Todos,4,Nivel IV,0.12180918,701.8829929,,Quintil_1,679.0894551,,,
0,ar,Lectura,6,general_pais,,1,Todos,ARGLectura6Todos,1,Nivel I,0.16744804,706.7039408,,Quintil_1,669.8188596,,,
0,ar,Lectura,6,general_pais,,1,Todos,ARGLectura6Todos,2,Nivel II,0.50727749,706.7039408,,Quintil_1,669.8188596,,,
0,ar,Lectura,6,general_pais,,1,Todos,ARGLectura6Todos,3,Nivel III,0.17410034,706.7039408,,Quintil_1,669.8188596,,,
0,ar,Lectura,6,general_pais,,1,Todos,ARGLectura6Todos,4,Nivel IV,0.15117413,706.7039408,,Quintil_1,669.8188596,,,
0,ar,Matemáticas,3,general_pais,,1,Todos,ARGMatemáticas3Todos,1,Nivel I,0.38996297,713.5427396,,Quintil_1,688.4135372,,,
0,ar,Matemáticas,3,general_pais,,1,Todos,ARGMatemáticas3Todos,2,Nivel II,0.26335743,713.5427396,,Quintil_1,688.4135372,,,
